dataset,video,frames,gt_boundaries,pred_boundaries,tp,fp,fn,precision,recall,f1
shot,13335596295,1229,15,16,15,1,0,0.9375,1.0,0.967741935483871
shot,17331353453,1089,13,15,13,2,0,0.8666666666666667,1.0,0.9285714285714286
shot,18592632588,1128,14,16,14,2,0,0.875,1.0,0.9333333333333333
shot,19079860649,1531,13,12,12,0,1,1.0,0.9230769230769231,0.9600000000000001
shot,20915607770,3005,24,31,24,7,0,0.7741935483870968,1.0,0.8727272727272727
shot,21267401290,1141,14,14,13,1,1,0.9285714285714286,0.9285714285714286,0.9285714285714286
shot,24881886015,1441,30,35,28,7,2,0.8,0.9333333333333333,0.8615384615384616
shot,25545843427,1163,20,22,19,3,1,0.8636363636363636,0.95,0.9047619047619048
shot,26922743731,1130,23,24,23,1,0,0.9583333333333334,1.0,0.9787234042553191
shot,27107740997,1127,23,23,23,0,0,1.0,1.0,1.0
shot,27109494185,1185,26,29,25,4,1,0.8620689655172413,0.9615384615384616,0.9090909090909091
shot,27438014338,1159,11,14,10,4,1,0.7142857142857143,0.9090909090909091,0.8
shot,28251171415,3962,52,56,50,6,2,0.8928571428571429,0.9615384615384616,0.9259259259259259
shot,28541329142,1232,29,35,29,6,0,0.8285714285714286,1.0,0.90625
shot,28582983201,1225,23,30,22,8,1,0.7333333333333333,0.9565217391304348,0.8301886792452831
shot,28855524125,1421,22,25,21,4,1,0.84,0.9545454545454546,0.8936170212765958
shot,29015928124,1082,6,16,6,10,0,0.375,1.0,0.5454545454545454
shot,29021603968,1082,6,16,6,10,0,0.375,1.0,0.5454545454545454
shot,29047239060,1247,18,22,18,4,0,0.8181818181818182,1.0,0.9
shot,29513386332,1304,32,34,31,3,1,0.9117647058823529,0.96875,0.9393939393939394
shot,30325167905,1412,24,26,24,2,0,0.9230769230769231,1.0,0.9600000000000001
shot,30382060590,1251,10,16,10,6,0,0.625,1.0,0.7692307692307693
shot,30699682698,2476,33,33,33,0,0,1.0,1.0,1.0
shot,31602670982,1494,12,12,12,0,0,1.0,1.0,1.0
shot,32140458676,1771,21,27,19,8,2,0.7037037037037037,0.9047619047619048,0.7916666666666667
shot,33338203782,3444,29,31,26,5,3,0.8387096774193549,0.896551724137931,0.8666666666666666
shot,33442613297,2430,20,23,14,9,6,0.6086956521739131,0.7,0.6511627906976744
shot,33803189290,2606,28,30,27,3,1,0.9,0.9642857142857143,0.9310344827586207
shot,34996642719,1324,16,19,16,3,0,0.8421052631578947,1.0,0.9142857142857143
shot,35087786411,2951,15,17,15,2,0,0.8823529411764706,1.0,0.9375
shot,35144084768,1563,8,10,8,2,0,0.8,1.0,0.888888888888889
shot,35146145613,1681,12,18,8,10,4,0.4444444444444444,0.6666666666666666,0.5333333333333333
shot,35219009690,1154,26,32,26,6,0,0.8125,1.0,0.896551724137931
shot,35460496768,3450,31,37,31,6,0,0.8378378378378378,1.0,0.911764705882353
shot,38667643656,630,12,12,12,0,0,1.0,1.0,1.0
shot,40355287299,459,6,7,6,1,0,0.8571428571428571,1.0,0.923076923076923
shot,41268001962,773,8,10,8,2,0,0.8,1.0,0.888888888888889
shot,42394122179,670,13,6,6,0,7,1.0,0.46153846153846156,0.631578947368421
shot,42728994306,863,18,15,14,1,4,0.9333333333333333,0.7777777777777778,0.8484848484848485
shot,43235160681,822,11,12,10,2,1,0.8333333333333334,0.9090909090909091,0.8695652173913043
shot,45049694598,945,16,16,16,0,0,1.0,1.0,1.0
shot,46431791499,944,12,14,10,4,2,0.7142857142857143,0.8333333333333334,0.7692307692307692
shot,46435147625,1024,21,20,19,1,2,0.95,0.9047619047619048,0.9268292682926829
shot,47704122306,1020,15,15,12,3,3,0.8,0.8,0.8000000000000002
shot,47957669295,704,13,10,9,1,4,0.9,0.6923076923076923,0.7826086956521738
shot,48122821346,717,15,16,15,1,0,0.9375,1.0,0.967741935483871
shot,48168996848,925,13,12,11,1,2,0.9166666666666666,0.8461538461538461,0.8799999999999999
shot,48422312550,1098,9,11,9,2,0,0.8181818181818182,1.0,0.9
shot,48555393513,1102,18,18,18,0,0,1.0,1.0,1.0
shot,48702737472,859,13,14,10,4,3,0.7142857142857143,0.7692307692307693,0.7407407407407408
shot,48925830537,681,12,12,11,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666
shot,48938017856,470,12,11,11,0,1,1.0,0.9166666666666666,0.9565217391304348
shot,49056150592,640,9,8,8,0,1,1.0,0.8888888888888888,0.9411764705882353
shot,49104256364,855,8,10,7,3,1,0.7,0.875,0.7777777777777777
shot,49127679449,596,13,10,10,0,3,1.0,0.7692307692307693,0.8695652173913044
shot,49175269235,850,13,13,13,0,0,1.0,1.0,1.0
shot,49361878016,1078,15,16,12,4,3,0.75,0.8,0.7741935483870969
shot,49751514232,484,10,10,10,0,0,1.0,1.0,1.0
shot,49810176625,1376,26,21,21,0,5,1.0,0.8076923076923077,0.8936170212765957
shot,49873920550,424,13,11,9,2,4,0.8181818181818182,0.6923076923076923,0.7500000000000001
shot,49921964653,1921,3,3,3,0,0,1.0,1.0,1.0
shot,49968590052,872,14,14,13,1,1,0.9285714285714286,0.9285714285714286,0.9285714285714286
shot,49974694347,1182,10,6,3,3,7,0.5,0.3,0.37499999999999994
shot,49986240582,702,10,17,10,7,0,0.5882352941176471,1.0,0.7407407407407407
shot,50162190619,795,12,9,9,0,3,1.0,0.75,0.8571428571428571
shot,50165129516,520,2,1,1,0,1,1.0,0.5,0.6666666666666666
shot,50226319770,1059,34,23,21,2,13,0.9130434782608695,0.6176470588235294,0.7368421052631579
shot,50234611771,373,1,1,1,0,0,1.0,1.0,1.0
shot,50270306832,669,7,8,7,1,0,0.875,1.0,0.9333333333333333
shot,50571672955,761,8,8,8,0,0,1.0,1.0,1.0
shot,50630424920,489,13,16,12,4,1,0.75,0.9230769230769231,0.8275862068965517
shot,50681534960,788,7,6,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307692
shot,50685420175,454,24,9,8,1,16,0.8888888888888888,0.3333333333333333,0.48484848484848486
shot,50691559420,460,1,1,1,0,0,1.0,1.0,1.0
shot,50722456474,677,16,18,16,2,0,0.8888888888888888,1.0,0.9411764705882353
shot,50730132874,661,8,6,6,0,2,1.0,0.75,0.8571428571428571
shot,50737710150,775,15,15,15,0,0,1.0,1.0,1.0
shot,50747609363,409,4,2,2,0,2,1.0,0.5,0.6666666666666666
shot,50757545897,549,7,7,4,3,3,0.5714285714285714,0.5714285714285714,0.5714285714285714
shot,50777251302,2750,0,0,0,0,0,0.0,0.0,0.0
shot,50779805009,728,14,12,12,0,2,1.0,0.8571428571428571,0.923076923076923
shot,50790423077,8885,40,16,14,2,26,0.875,0.35,0.4999999999999999
shot,50808944385,1105,32,29,24,5,8,0.8275862068965517,0.75,0.7868852459016394
shot,50986712274,934,14,13,13,0,1,1.0,0.9285714285714286,0.962962962962963
shot,51017299441,796,1,1,1,0,0,1.0,1.0,1.0
shot,51035653483,1080,16,19,16,3,0,0.8421052631578947,1.0,0.9142857142857143
shot,51052713926,1305,28,27,25,2,3,0.9259259259259259,0.8928571428571429,0.9090909090909091
shot,51131501640,793,20,20,17,3,3,0.85,0.85,0.85
shot,51146516534,589,13,16,13,3,0,0.8125,1.0,0.896551724137931
shot,51156423976,1040,5,13,5,8,0,0.38461538461538464,1.0,0.5555555555555556
shot,51174508193,542,9,6,6,0,3,1.0,0.6666666666666666,0.8
shot,51194977739,568,2,2,2,0,0,1.0,1.0,1.0
shot,51195576293,588,7,6,6,0,1,1.0,0.8571428571428571,0.923076923076923
shot,51196454667,754,14,12,12,0,2,1.0,0.8571428571428571,0.923076923076923
shot,51358309965,551,7,7,7,0,0,1.0,1.0,1.0
shot,51365944152,695,6,5,5,0,1,1.0,0.8333333333333334,0.9090909090909091
shot,51513541245,643,15,10,10,0,5,1.0,0.6666666666666666,0.8
shot,51557245308,463,7,5,5,0,2,1.0,0.7142857142857143,0.8333333333333333
shot,51564867434,320,3,4,3,1,0,0.75,1.0,0.8571428571428571
shot,51569443007,1147,5,3,0,3,5,0.0,0.0,0.0
shot,51619015176,976,10,13,10,3,0,0.7692307692307693,1.0,0.8695652173913044
shot,51640627175,877,16,17,15,2,1,0.8823529411764706,0.9375,0.9090909090909091
shot,51666131105,1514,22,31,21,10,1,0.6774193548387096,0.9545454545454546,0.7924528301886793
shot,51797484957,519,1,1,1,0,0,1.0,1.0,1.0
shot,51801047674,649,13,9,8,1,5,0.8888888888888888,0.6153846153846154,0.7272727272727274
shot,51813343076,292,1,1,1,0,0,1.0,1.0,1.0
shot,51815641249,529,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706
shot,51821110945,561,7,7,3,4,4,0.42857142857142855,0.42857142857142855,0.42857142857142855
shot,51822315486,1123,10,10,10,0,0,1.0,1.0,1.0
shot,51828385722,1660,2,1,1,0,1,1.0,0.5,0.6666666666666666
shot,51849706623,1356,18,13,13,0,5,1.0,0.7222222222222222,0.8387096774193548
shot,51850440470,524,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091
shot,51851851628,1320,11,13,11,2,0,0.8461538461538461,1.0,0.9166666666666666
shot,51853159475,721,21,17,17,0,4,1.0,0.8095238095238095,0.8947368421052632
shot,51853218995,715,3,2,2,0,1,1.0,0.6666666666666666,0.8
shot,51854738831,545,1,1,1,0,0,1.0,1.0,1.0
shot,51856514703,887,11,9,9,0,2,1.0,0.8181818181818182,0.9
shot,51856804342,600,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948
shot,51863405337,431,9,6,6,0,3,1.0,0.6666666666666666,0.8
shot,51864484769,750,12,10,9,1,3,0.9,0.75,0.8181818181818182
shot,51865414031,412,2,2,2,0,0,1.0,1.0,1.0
shot,51879134193,661,16,12,11,1,5,0.9166666666666666,0.6875,0.7857142857142857
shot,51883607241,683,9,9,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888
shot,51898637293,516,8,7,7,0,1,1.0,0.875,0.9333333333333333
shot,51907740028,650,1,1,1,0,0,1.0,1.0,1.0
shot,51909559955,357,0,5,0,5,0,0.0,0.0,0.0
shot,51910832568,3127,38,35,35,0,3,1.0,0.9210526315789473,0.958904109589041
shot,51918316554,714,10,8,8,0,2,1.0,0.8,0.888888888888889
shot,51922596545,409,5,5,5,0,0,1.0,1.0,1.0
shot,51923064451,1194,19,21,19,2,0,0.9047619047619048,1.0,0.9500000000000001
shot,51923935135,411,4,3,3,0,1,1.0,0.75,0.8571428571428571
shot,51936013776,606,0,0,0,0,0,0.0,0.0,0.0
shot,51962572932,597,16,15,15,0,1,1.0,0.9375,0.967741935483871
shot,51968224744,594,5,5,5,0,0,1.0,1.0,1.0
shot,51970090159,680,12,10,10,0,2,1.0,0.8333333333333334,0.9090909090909091
shot,51974495393,538,11,12,8,4,3,0.6666666666666666,0.7272727272727273,0.6956521739130435
shot,51991451479,1241,6,7,2,5,4,0.2857142857142857,0.3333333333333333,0.30769230769230765
shot,51993797249,500,10,10,10,0,0,1.0,1.0,1.0
shot,52018429962,560,7,7,7,0,0,1.0,1.0,1.0
shot,52019528845,245,3,1,1,0,2,1.0,0.3333333333333333,0.5
shot,52020580256,489,3,1,1,0,2,1.0,0.3333333333333333,0.5
shot,52021424972,794,14,18,9,9,5,0.5,0.6428571428571429,0.5625000000000001
shot,52036282996,689,9,9,9,0,0,1.0,1.0,1.0
shot,52039188217,324,1,1,1,0,0,1.0,1.0,1.0
shot,52040994145,930,5,4,4,0,1,1.0,0.8,0.888888888888889
shot,52058235156,2170,0,0,0,0,0,0.0,0.0,0.0
shot,52065612239,444,8,4,4,0,4,1.0,0.5,0.6666666666666666
shot,52079863242,818,7,15,5,10,2,0.3333333333333333,0.7142857142857143,0.4545454545454545
shot,52088212431,694,5,4,4,0,1,1.0,0.8,0.888888888888889
shot,52091274367,465,8,7,7,0,1,1.0,0.875,0.9333333333333333
shot,52103654873,610,9,9,6,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
shot,52211794196,1313,20,28,20,8,0,0.7142857142857143,1.0,0.8333333333333333
shot,52221509412,429,12,9,7,2,5,0.7777777777777778,0.5833333333333334,0.6666666666666666
shot,52223316995,782,18,12,12,0,6,1.0,0.6666666666666666,0.8
shot,52227178506,826,25,20,20,0,5,1.0,0.8,0.888888888888889
shot,52230867826,2082,8,8,8,0,0,1.0,1.0,1.0
shot,52231725528,438,3,4,3,1,0,0.75,1.0,0.8571428571428571
shot,52251949405,5252,57,56,55,1,2,0.9821428571428571,0.9649122807017544,0.9734513274336283
shot,52265488856,816,0,0,0,0,0,0.0,0.0,0.0
shot,52267415630,850,6,8,6,2,0,0.75,1.0,0.8571428571428571
shot,52270627051,752,1,1,1,0,0,1.0,1.0,1.0
shot,52278251659,439,9,9,9,0,0,1.0,1.0,1.0
shot,52285405847,450,10,10,9,1,1,0.9,0.9,0.9
shot,52288425765,755,14,8,8,0,6,1.0,0.5714285714285714,0.7272727272727273
shot,52300997756,796,1,1,1,0,0,1.0,1.0,1.0
shot,52306102332,427,2,2,2,0,0,1.0,1.0,1.0
shot,52326893657,1316,15,26,15,11,0,0.5769230769230769,1.0,0.7317073170731707
shot,52342275440,510,2,2,1,1,1,0.5,0.5,0.5
shot,52344741598,974,12,10,9,1,3,0.9,0.75,0.8181818181818182
shot,52355335974,608,13,12,11,1,2,0.9166666666666666,0.8461538461538461,0.8799999999999999
shot,52402555008,443,11,9,9,0,2,1.0,0.8181818181818182,0.9
shot,52428336453,845,12,17,12,5,0,0.7058823529411765,1.0,0.8275862068965517
shot,52459332798,967,26,26,26,0,0,1.0,1.0,1.0
shot,52463663295,1102,13,5,5,0,8,1.0,0.38461538461538464,0.5555555555555556
shot,52465455105,983,17,16,16,0,1,1.0,0.9411764705882353,0.9696969696969697
shot,52484229807,1307,14,18,13,5,1,0.7222222222222222,0.9285714285714286,0.8125000000000001
shot,52527042670,479,4,0,0,0,4,0.0,0.0,0.0
shot,52541409045,1861,3,0,0,0,3,0.0,0.0,0.0
shot,52639473545,451,16,12,12,0,4,1.0,0.75,0.8571428571428571
shot,52648682110,795,16,6,6,0,10,1.0,0.375,0.5454545454545454
shot,52660362549,785,7,2,2,0,5,1.0,0.2857142857142857,0.4444444444444445
shot,52663756053,619,10,11,8,3,2,0.7272727272727273,0.8,0.761904761904762
shot,52678323813,738,12,11,11,0,1,1.0,0.9166666666666666,0.9565217391304348
shot,52737439669,675,1,2,1,1,0,0.5,1.0,0.6666666666666666
shot,52738625825,685,6,5,4,1,2,0.8,0.6666666666666666,0.7272727272727272
shot,52774861683,1130,8,4,4,0,4,1.0,0.5,0.6666666666666666
shot,52862789455,346,2,2,2,0,0,1.0,1.0,1.0
shot,52866623001,915,8,6,6,0,2,1.0,0.75,0.8571428571428571
shot,52905722207,592,14,19,14,5,0,0.7368421052631579,1.0,0.8484848484848484
shot,52906475525,1019,9,9,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888
shot,52911335778,847,3,1,1,0,2,1.0,0.3333333333333333,0.5
shot,52955209496,1010,22,22,21,1,1,0.9545454545454546,0.9545454545454546,0.9545454545454546
shot,52984248093,1144,23,24,22,2,1,0.9166666666666666,0.9565217391304348,0.9361702127659574
shot,52984250725,1139,21,21,19,2,2,0.9047619047619048,0.9047619047619048,0.9047619047619048
shot,53080754988,639,9,6,5,1,4,0.8333333333333334,0.5555555555555556,0.6666666666666667
shot,53085157367,576,17,15,15,0,2,1.0,0.8823529411764706,0.9375
shot,53093515746,648,6,2,2,0,4,1.0,0.3333333333333333,0.5
shot,53094825299,758,8,8,5,3,3,0.625,0.625,0.625
shot,53159808242,848,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.8461538461538461
shot,53159810406,934,20,17,17,0,3,1.0,0.85,0.9189189189189189
bbc,bbc_01,73876,444,444,434,10,10,0.9774774774774775,0.9774774774774775,0.9774774774774775
bbc,bbc_02,72115,382,376,365,11,17,0.9707446808510638,0.9554973821989529,0.9630606860158312
bbc,bbc_03,73925,420,416,408,8,12,0.9807692307692307,0.9714285714285714,0.9760765550239234
bbc,bbc_04,73575,471,475,464,11,7,0.9768421052631578,0.9851380042462845,0.9809725158562367
bbc,bbc_05,73850,459,464,453,11,6,0.9762931034482759,0.9869281045751634,0.981581798483207
bbc,bbc_06,73985,525,525,514,11,11,0.979047619047619,0.979047619047619,0.979047619047619
bbc,bbc_07,73935,530,535,524,11,6,0.9794392523364486,0.9886792452830189,0.984037558685446
bbc,bbc_08,73850,409,328,322,6,87,0.9817073170731707,0.7872860635696821,0.8738127544097692
bbc,bbc_09,73850,365,364,358,6,7,0.9835164835164835,0.9808219178082191,0.9821673525377229
bbc,bbc_10,73375,373,356,339,17,34,0.952247191011236,0.9088471849865952,0.9300411522633746
bbc,bbc_11,73492,466,469,452,17,14,0.9637526652452025,0.9699570815450643,0.9668449197860962
clipshots,--XNzaz_Y4g,5856,3,46,3,43,0,0.06521739130434782,1.0,0.12244897959183672
clipshots,-0ah6VRUsl4,3912,2,2,0,2,2,0.0,0.0,0.0
clipshots,-17hVQk3wXI,3915,0,2,0,2,0,0.0,0.0,0.0
clipshots,-1uGONNrRlM,7839,69,62,60,2,9,0.967741935483871,0.8695652173913043,0.9160305343511451
clipshots,-57JLTgyV70,3945,30,29,25,4,5,0.8620689655172413,0.8333333333333334,0.847457627118644
clipshots,-629gOGM1Ic,3650,43,41,38,3,5,0.926829268292683,0.8837209302325582,0.9047619047619047
clipshots,-B4G8SeAK6I,5481,0,0,0,0,0,0.0,0.0,0.0
clipshots,-FI7z_9YNl0,4854,8,3,1,2,7,0.3333333333333333,0.125,0.18181818181818182
clipshots,-QLxbPj0zO0,7238,10,85,4,81,6,0.047058823529411764,0.4,0.08421052631578947
clipshots,-XbZW_DUA6k,6431,0,0,0,0,0,0.0,0.0,0.0
clipshots,-ebxou33SH0,6058,0,1,0,1,0,0.0,0.0,0.0
clipshots,-hfiMArhXaI,4320,0,0,0,0,0,0.0,0.0,0.0
clipshots,014bRgoyLaM,5047,0,0,0,0,0,0.0,0.0,0.0
clipshots,0D8juplgVYc,3783,12,5,5,0,7,1.0,0.4166666666666667,0.5882352941176471
clipshots,0EAoOWDVVgM,5214,0,5,0,5,0,0.0,0.0,0.0
clipshots,0EXCdXUN_fk,8206,93,122,85,37,8,0.6967213114754098,0.9139784946236559,0.7906976744186046
clipshots,0FOecJlkeV4,5752,20,27,19,8,1,0.7037037037037037,0.95,0.8085106382978724
clipshots,0GImzG2gP4c,4632,8,41,7,34,1,0.17073170731707318,0.875,0.28571428571428575
clipshots,0IdRA0XX4ms,3059,0,6,0,6,0,0.0,0.0,0.0
clipshots,0L7nfObDMeo,3733,0,1,0,1,0,0.0,0.0,0.0
clipshots,0UugGhQ2zQE,6367,0,0,0,0,0,0.0,0.0,0.0
clipshots,0kzuXD0PmNg,6042,0,11,0,11,0,0.0,0.0,0.0
clipshots,0nZQWIxsLB8,4524,13,30,11,19,2,0.36666666666666664,0.8461538461538461,0.5116279069767441
clipshots,0qJrHcFpi28,6369,0,7,0,7,0,0.0,0.0,0.0
clipshots,1DNVtb9Lauw,1035,1,2,1,1,0,0.5,1.0,0.6666666666666666
